Age,Gender,Weight (kg),Height (m),BMI,BMI_Category,Experience_Level,Session_Duration (hours),Calories_Burned,Name of Exercise,Difficulty Level,Reps,Burns Calories (per 30 min),target_muscles,focus_area,strength,cardio,hiit,yoga,calories_norm,difficulty_norm,weight_gain_score,weight_loss_score
49.44,0,43.86,1.65,16.11,0,11,1.16,1528.65,Kettlebell Swings,2,18.99,360.36,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.915599304,1,0.737339896,0.7
37.37,0,71.65,1.64,26.64,2,14,1.11,1066.49,Push Ups,1,14.95,367.9,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.945406388,0.5,0.491810958,0.275
54.81,0,129.7,1.73,43.34,3,0,0.7,615.44,Deadlifts,0,16.07,361.83,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.9214105,0,0.488211575,0.2
25.09,1,65.5,1.77,20.91,1,0,0.91,1100.1,Leg Press,2,16.94,351.15,"['quads', 'glutes']",lowerbody,1,0,0,0,0.879190386,1,0.481878558,0.35
56.14,0,84.8,1.63,31.92,3,15,1.01,728.41,Leg Press,2,18.88,363.19,"['quads', 'glutes']",lowerbody,1,0,0,0,0.926786844,1,0.489018027,0.35
42.05,0,62.9,1.77,20.08,1,13,1.33,1755.6,Lat Pulldowns,2,16.03,343.07,"['lats', 'biceps']",upperbody,1,0,0,0,0.847248577,1,0.477087287,0.35
25.23,0,49.79,1.98,12.7,0,15,1.14,1507.31,Lat Pulldowns,1,19.93,339.97,"['lats', 'biceps']",upperbody,1,0,0,0,0.834993675,0.5,0.475249051,0.275
25.6,1,72.95,1.67,26.16,2,0,1.37,1356.3,Frog Jumps,0,15.03,350.25,"['glutes', 'quads']",lowerbody,0,1,1,0,0.875632511,0,0.581344877,0.6
42.14,1,72.82,1.62,27.75,2,12,1.17,841.7,Deadlifts,2,22.09,347.94,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.866500633,1,0.479975095,0.35
43.43,1,66.35,1.85,19.39,1,2,1.18,1170.32,Lat Pulldowns,2,24.07,368.86,"['lats', 'biceps']",upperbody,1,0,0,0,0.949201455,1,0.492380218,0.35
41.98,1,72.34,1.62,27.56,2,10,1.17,1120.39,Calf Raises,0,22.08,347.81,['calves'],lowerbody,1,0,0,0,0.865986717,0,0.479898008,0.2
32.9,0,53.77,1.52,23.27,1,1,1.03,1247.43,Face Pulls,0,16.03,336.73,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.822185326,0,0.473327799,0.2
48,0,71.87,1.64,26.72,2,14,1.47,1412.38,Seated Rows,1,19.95,344.94,"['mid_back', 'lats']",upperbody,1,0,0,0,0.85464105,0.5,0.478196157,0.275
55.67,0,84.55,1.63,31.82,3,14,1,1321.1,Bulgarian Split Squats,1,19.12,362.23,"['quads', 'glutes']",lowerbody,1,0,0,0,0.922991777,0.5,0.488448767,0.275
48.96,0,57.71,1.99,14.57,0,2,0.93,819.89,Squats,0,23.96,351.37,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.880060089,0,0.482009013,0.2
32.99,1,55.74,1.54,23.5,1,1,1.07,942.46,Dead Bugs,1,18.02,327.79,"['transverse_abs', 'core']",core,1,0,0,1,0.78684377,0.5,0.518026565,0.325
50.11,0,94.82,1.62,36.13,3,12,1.17,841.7,Bench Press,2,24.21,343.1,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.847367173,1,0.477105076,0.35
44.76,1,58.02,1.72,19.61,1,15,1.3,1250.08,Bear Crawls,1,17.01,334.12,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.811867489,0.5,0.371780123,0.425
44.78,1,64.63,1.78,20.4,1,0,1.47,967.55,Inverted Rows,0,18.04,345.73,"['upper_back', 'biceps']",upperbody,1,0,0,0,0.857764073,0,0.478664611,0.2
35.94,1,86.99,1.71,29.75,2,26,1.86,1934.4,Jumping Jacks,2,16.06,344.3,['full_body'],fullbody,0,1,1,0,0.852111006,1,0.577816651,0.75
38.07,0,123.36,1.62,47.01,3,12,1.35,971.19,Squats,1,25.03,380.39,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.994781784,0.5,0.499217268,0.275
18.69,1,47.61,1.52,20.61,2,3,0.96,1164.77,Jumping Jacks,0,14.88,365.24,['full_body'],fullbody,0,1,1,0,0.934890892,0,0.590233634,0.6
19.09,0,69.15,1.6,27.01,2,1,1.17,772.9,Incline Push-ups,1,14.93,331.34,"['upper_chest', 'shoulders']",upperbody,1,0,0,0,0.800877609,0.5,0.470131641,0.275
23.19,0,106.49,1.94,28.29,2,3,1.35,1637.96,Plank,1,15.01,343.43,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.848671727,0.5,0.527300759,0.325
44.96,0,51.57,1.87,14.75,0,14,1.44,1556.5,Bench Press,0,24.95,355.81,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.897612271,0,0.484641841,0.2
25.12,1,95.58,1.9,26.48,2,16,1.49,1433.98,Pistol Squats,2,22.99,335.3,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.816532258,1,0.472479839,0.35
38.69,1,49.38,1.61,19.05,1,1,1.17,1416.99,Squats,0,16.1,328.05,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.7878716,0,0.46818074,0.2
36.23,0,46.64,1.74,15.4,0,13,1.5,1080,Bicycle Crunches,1,16.95,348.01,"['abs', 'obliques']",core,1,0,0,0,0.866777356,0.5,0.480016603,0.275
54.22,0,58.16,1.59,23.01,1,0,1.08,712.15,Squats,0,19.95,355.47,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.896268185,0,0.484440228,0.2
18.69,1,74.22,1.77,23.69,2,15,1.28,1384.7,Face Pulls,0,18.95,339.1,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.831554396,0,0.474733159,0.2
59.08,1,97.25,1.71,33.26,3,0,0.56,553.9,Zottman Curls,2,15.99,367.03,"['biceps', 'forearms']",upperbody,1,0,0,0,0.941967109,1,0.491295066,0.35
37.33,0,76.97,1.77,24.57,1,15,1.36,980.83,Plyometric Push-ups,1,17,356.09,"['chest', 'shoulders']",upperbody,0,0,1,0,0.898719165,0.5,0.384807875,0.425
52.28,1,44.44,1.62,16.93,0,0,1.41,1394.63,Jumping Jacks,1,24.77,328.51,['full_body'],fullbody,0,1,1,0,0.78969007,0.5,0.56845351,0.675
38.76,0,61.6,1.77,19.66,1,0,1.32,1306.8,Pistol Squats,2,23.9,344.44,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.852664453,1,0.477899668,0.35
34.63,1,64.38,1.62,24.53,1,25,1.76,1371.74,Face Pulls,0,22.11,364.91,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.933586338,0,0.490037951,0.2
34.66,1,55.75,1.56,22.91,1,26,1.72,2012.4,Prone Cobras,1,15.92,352.34,['upper_back'],upperbody,0,0,0,1,0.883894687,0.5,0.182584203,0.125
20.2,0,75.91,1.61,29.29,2,14,1.35,1297.08,Russian Twists,0,22.91,332.51,"['obliques', 'abs']",core,1,0,0,0,0.805502846,0,0.470825427,0.2
57.67,1,103.13,1.66,37.43,3,3,1.34,886.81,Lateral Raises,1,21.97,344.71,['lateral_delts'],upperbody,1,0,0,0,0.853731815,0.5,0.478059772,0.275
47.41,1,65.34,1.71,22.35,1,0,1.42,1404.52,Pull-ups,2,21.91,347.34,"['lats', 'biceps']",upperbody,1,0,0,0,0.864128716,1,0.479619307,0.35
34.99,0,70.55,1.79,22.02,1,11,1.07,769.12,Turkish Get-ups,0,16.98,349.13,"['full_body', 'core']",fullbody,1,0,0,1,0.871204934,0,0.53068074,0.25
49.83,1,91.31,1.7,31.6,3,0,0.81,712.8,Bear Crawls,0,23.02,336.79,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.822422517,0,0.373363378,0.35
57.18,1,85.47,1.69,29.93,2,26,1.75,2502.5,Dragon Flags,0,24.14,346.33,"['core', 'hip_flexors']",core,1,0,0,0,0.86013599,0,0.479020398,0.2
25.17,0,57.63,1.58,23.09,1,16,1.36,1472.47,Renegade Rows,0,15.03,366.61,"['lats', 'core']",fullbody,1,0,0,0,0.940306768,0,0.491046015,0.2
28.54,0,84.85,1.72,28.68,2,29,1.78,1855.47,Seated Rows,0,16.95,360.5,"['mid_back', 'lats']",upperbody,1,0,0,0,0.916152751,0,0.487422913,0.2
21.94,0,45.23,1.77,14.44,0,1,1.04,1030.54,Glute Bridges,2,23.02,348.51,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.868753953,1,0.480313093,0.35
51.91,0,50.05,1.78,15.8,0,0,0.85,561,Dragon Flags,2,25.03,351.92,"['core', 'hip_flexors']",core,1,0,0,0,0.882234345,1,0.482335152,0.35
20.74,1,54.91,1.78,17.33,0,2,0.55,666.71,Calf Raises,0,17,339.7,['calves'],lowerbody,1,0,0,0,0.833926312,0,0.475088947,0.2
50.3,0,80.13,1.77,25.58,2,28,1.84,1437.41,Dragon Flags,1,19.93,354.35,"['core', 'hip_flexors']",core,1,0,0,0,0.891840607,0.5,0.483776091,0.275
58.01,0,103.6,1.66,37.6,3,0,1.32,1305.61,Prone Cobras,1,22.01,344.45,['upper_back'],upperbody,0,0,0,1,0.852703985,0.5,0.177905598,0.125
18,0,67.89,1.8,20.95,2,13,1.1,1188,Push-ups,2,18.01,338.46,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.829024352,1,0.474353653,0.35
39.93,0,76.84,1.92,20.84,1,14,1.14,1095.31,Rows,0,23.11,371.61,"['lats', 'rhomboids']",upperbody,1,0,0,0,0.960072739,0,0.494010911,0.2
48.56,0,83.44,1.86,24.12,1,27,1.87,2189.58,Pistol Squats,2,15.07,350.98,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.878518343,1,0.481777751,0.35
59.09,1,89.08,1.72,30.11,3,0,1.08,949.54,Superman,1,14.99,354.72,"['lower_back', 'glutes']",core,0,0,0,1,0.893303289,0.5,0.183995493,0.125
33.14,0,54.6,1.66,19.81,1,2,1.24,819.89,Wall Angels,1,23.89,351.45,"['upper_back', 'shoulders']",upperbody,0,0,0,1,0.880376344,0.5,0.182056452,0.125
22.01,0,98.62,1.88,27.9,2,0,0.52,628.63,Plyo Squats,1,16.99,360.32,"['quads', 'glutes']",lowerbody,0,0,1,0,0.915441176,0.5,0.387316176,0.425
31.24,0,47.86,1.65,17.58,0,0,1.11,732.6,Scissors Kicks,2,15.05,334.5,['lower_abs'],core,1,0,1,0,0.813369703,1,0.722005455,0.7
27.82,1,58.57,2,14.64,0,14,1.31,1415.98,Tricep Dips,1,23.96,332.56,['triceps'],upperbody,1,0,0,0,0.805700506,0.5,0.470855076,0.275
26.69,1,108.34,1.8,33.44,3,12,1.38,992.77,Tricep Dips,0,24.06,372.92,['triceps'],upperbody,1,0,0,0,0.965251423,0,0.494787713,0.2
36.81,1,49.09,1.67,17.6,0,0,1.38,1211.09,Tricep Dips,2,25.09,350.52,['triceps'],upperbody,1,0,0,0,0.876699873,1,0.481504981,0.35
24.98,1,78.06,1.54,32.91,3,0,0.56,554.4,Thrusters,1,22.94,351.14,"['legs', 'shoulders', 'core']",fullbody,1,0,1,0,0.879150854,0.5,0.731872628,0.625
58.93,1,90.25,1.62,34.39,3,17,1.43,1377.38,Plank,1,19.98,337.3,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.824438646,0.5,0.523665797,0.325
43.3,1,65.62,1.77,20.95,1,10,1.48,1417.25,Zottman Curls,1,18.92,340.69,"['biceps', 'forearms']",upperbody,1,0,0,0,0.837839975,0.5,0.475675996,0.275
55.95,1,109.55,1.66,39.76,3,14,1.29,929.57,Step-ups,1,24.01,371.17,"['glutes', 'quads']",lowerbody,1,0,0,0,0.958333333,0.5,0.49375,0.275
56.9,1,112.5,1.61,43.4,3,14,1.24,1638.16,Dips,1,10.09,280.82,"['chest', 'triceps']",upperbody,1,0,0,0,0.601162239,0.5,0.440174336,0.275
32.11,0,68.71,1.66,24.93,1,14,1.1,1188.99,Decline Push-ups,1,9.95,275.06,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.578391841,0.5,0.436758776,0.275
57.23,0,81.96,1.69,28.7,2,12,1.15,827.31,Frog Jumps,0,14.97,336.12,"['glutes', 'quads']",lowerbody,0,1,1,0,0.819773877,0,0.572966082,0.6
25.74,1,53.87,1.53,23.01,1,2,1.15,760.38,Inverted Rows,1,18.22,364.84,"['upper_back', 'biceps']",upperbody,1,0,0,0,0.933309614,0.5,0.489996442,0.275
18.82,0,82.47,1.96,21.47,2,27,1.89,2704.78,Tricep Extensions,2,24.08,356.91,['triceps'],upperbody,1,0,0,0,0.901960784,1,0.485294118,0.35
22.63,1,117.94,1.68,41.79,3,16,1.24,1342.55,Tricep Dips,1,23.98,369.65,['triceps'],upperbody,1,0,0,0,0.952324478,0.5,0.492848672,0.275
52.28,1,50.58,1.78,15.96,0,0,0.86,567.6,Bear Crawls,2,25.03,350.24,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.875592979,1,0.381338947,0.5
45.16,1,65.43,1.57,26.54,2,0,0.66,652.21,Deadlifts,1,14.91,341.79,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.842188488,0.5,0.476328273,0.275
19.21,0,95.39,1.85,27.87,2,15,1.2,865.44,Prone Cobras,1,18,360.78,['upper_back'],upperbody,0,0,0,1,0.917259646,0.5,0.187588947,0.125
41.08,0,51.41,1.8,15.87,0,11,1.08,1164.46,Deadlift,2,21.01,359.74,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.913148324,1,0.486972249,0.35
35.32,0,65.14,1.62,24.82,1,15,1,721.2,Lateral Raises,1,20.94,342.58,['lateral_delts'],upperbody,1,0,0,0,0.845311512,0.5,0.476796727,0.275
34.94,0,77.96,1.67,27.95,2,13,1.12,1478.4,Bear Crawls,1,16.04,346.12,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.859305819,0.5,0.378895873,0.425
53.91,0,56.18,1.75,18.34,0,27,1.76,2060.78,Rows,0,23.04,354.16,"['lats', 'rhomboids']",upperbody,1,0,0,0,0.8910895,0,0.483663425,0.2
27.03,1,108.22,1.8,33.4,3,13,1.39,1000.8,Dips,0,23.94,372.81,"['chest', 'triceps']",upperbody,1,0,0,0,0.964816572,0,0.494722486,0.2
26.17,1,44.25,1.6,17.29,0,1,1.09,720.05,Bench Press,1,5.07,299.29,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.674177736,0.5,0.45112666,0.275
35.04,1,84.94,1.85,24.82,1,26,1.77,2531.1,Leg Raises,2,22.85,356.3,"['lower_abs', 'hip_flexors']",core,1,0,0,0,0.899549336,1,0.4849324,0.35
56.19,0,67.21,1.58,26.92,2,0,1.44,949.54,Seated Rows,0,24.95,347.09,"['mid_back', 'lats']",upperbody,1,0,0,0,0.863140417,0,0.479471063,0.2
27.3,1,75.85,1.7,26.25,2,2,0.96,1163.71,Lateral Raises,2,17.91,353.1,['lateral_delts'],upperbody,1,0,0,0,0.886899114,1,0.483034867,0.35
28.77,0,68.65,1.7,23.75,1,0,0.76,751.72,Shoulder Press,0,23.9,334.54,"['deltoids', 'triceps']",upperbody,1,0,0,0,0.81352783,0,0.472029175,0.2
26.6,0,89.54,1.64,33.29,3,24,1.82,2126.12,Plank,0,17.99,364.76,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.932993359,0,0.539949004,0.25
47.92,1,80.4,1.77,25.66,2,25,1.51,1765.34,Pull-ups,2,22.95,348.96,"['lats', 'biceps']",upperbody,1,0,0,0,0.870532891,1,0.480579934,0.35
49.57,1,57.4,1.58,22.99,1,29,1.92,1501.06,Leg Raises,1,18.83,356.89,"['lower_abs', 'hip_flexors']",core,1,0,0,0,0.90188172,0.5,0.485282258,0.275
27.88,1,62.79,1.62,23.93,1,3,0.68,675.04,Deadlift,2,15.06,343.13,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.847485769,1,0.477122865,0.35
43.88,0,89.37,1.99,22.57,1,13,1.4,1848,Scissors Kicks,0,14.95,339.05,['lower_abs'],core,1,0,1,0,0.831356736,0,0.72470351,0.55
57.05,1,45.65,1.76,14.74,0,15,1.45,1917.19,Burpees,2,20.08,359.82,['full_body'],fullbody,0,1,1,0,0.913464579,1,0.587019687,0.75
39.95,1,51.23,1.82,15.47,0,0,0.9,891,Bench Press,1,21.94,347.9,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.866342505,0.5,0.479951376,0.275
27.73,1,63.16,1.62,24.07,1,0,0.69,833.38,Burpees,1,14.97,343.3,['full_body'],fullbody,0,1,1,0,0.848157812,0.5,0.577223672,0.675
44.37,0,89.13,1.99,22.51,1,14,1.4,1849.54,Plank,1,14.98,338.72,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.830052182,0.5,0.524507827,0.325
30.22,1,107.78,1.66,39.11,3,16,1.07,1029.77,Incline Push-ups,0,16.88,368.66,"['upper_chest', 'shoulders']",upperbody,1,0,0,0,0.948410816,0,0.492261622,0.2
38.89,0,58.56,1.93,15.72,0,11,1.36,977.57,Decline Push-ups,0,22.96,333.44,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.809179317,0,0.471376898,0.2
32.06,0,58.4,1.66,21.19,1,0,0.5,495,Windshield Wipers,2,17.94,366.96,"['obliques', 'abs']",core,1,0,0,0,0.941690386,1,0.491253558,0.35
35.05,0,54.72,1.56,22.49,1,26,1.71,1778.4,Calf Raises,0,15.93,352.74,['calves'],lowerbody,1,0,0,0,0.885475965,0,0.482821395,0.2
46.04,0,103.55,1.77,33.05,3,2,1.18,1040.29,Seated Rows,0,17.94,336.25,"['mid_back', 'lats']",upperbody,1,0,0,0,0.820287793,0,0.473043169,0.2
49.07,0,81.41,1.83,24.31,1,31,1.98,1550.34,Push Ups,2,19.03,358.18,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.906981341,1,0.486047201,0.35
53.46,0,54.55,1.76,17.61,0,12,1.29,928.03,Push Ups,1,15,349.45,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.872469956,0.5,0.480870493,0.275
24.77,0,50.19,1.98,12.8,0,13,1.14,1504.8,Bulgarian Split Squats,0,20.02,338.26,"['quads', 'glutes']",lowerbody,1,0,0,0,0.828233713,0,0.474235057,0.2
24.24,0,42.05,1.75,13.73,0,2,0.84,833.11,Incline Push-ups,1,21.9,359.23,"['upper_chest', 'shoulders']",upperbody,1,0,0,0,0.911132195,0.5,0.486669829,0.275
47.96,1,63.6,1.58,25.48,2,28,1.99,2850.08,Reverse Lunges,2,17.97,348.06,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.866975016,1,0.480046252,0.35
57.14,1,55.98,1.99,14.14,0,13,1.13,1084.8,Plyometric Push-ups,1,16.01,331.82,"['chest', 'shoulders']",upperbody,0,0,1,0,0.802775142,0.5,0.370416271,0.425
29.15,0,55.9,1.61,21.57,1,0,1.4,1386,Rows,2,21.96,366.44,"['lats', 'rhomboids']",upperbody,1,0,0,0,0.939634725,1,0.490945209,0.35
39.22,0,59.8,1.83,17.86,0,10,1.35,969.57,Dragon Flags,2,25.03,356.18,"['core', 'hip_flexors']",core,1,0,0,0,0.899074953,1,0.484861243,0.35
28.53,1,121.22,1.87,34.66,3,13,1.32,1267.2,Plank,0,23.03,362.94,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.925798545,0,0.538869782,0.25
33.14,1,53.65,1.66,19.47,1,0,1.26,1106.78,Push Ups,0,23.95,351.76,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.881601834,0,0.482240275,0.2
45.37,0,51.87,1.88,14.68,0,15,1.09,1179.16,Leg Press,1,14.95,330.27,"['quads', 'glutes']",lowerbody,1,0,0,0,0.796647691,0.5,0.469497154,0.275
37.83,0,87.7,1.78,27.68,2,28,1.75,1367.1,Step-ups,0,21.85,372.73,"['glutes', 'quads']",lowerbody,1,0,0,0,0.964500316,0,0.494675047,0.2
51.05,1,77.77,1.51,34.11,3,0,0.92,909.97,Face Pulls,0,24.22,347.16,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.863417141,0,0.479512571,0.2
19.86,0,75.27,1.58,30.15,3,12,1.04,748.18,Bear Crawls,0,17.1,357.79,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.905439595,0,0.385815939,0.35
30.01,0,60.9,1.55,25.35,2,17,1.29,1708.48,Inverted Rows,1,24.95,363.34,"['upper_back', 'biceps']",upperbody,1,0,0,0,0.927379823,0.5,0.489106973,0.275
30.94,1,60.36,1.76,19.49,1,25,1.81,1880.95,Resistance Band Pull-Aparts,1,15.01,355.8,"['rear_delts', 'rhomboids']",upperbody,1,0,0,1,0.897572739,0.5,0.534635911,0.325
35.3,0,79.32,1.64,29.49,2,15,1.29,1240.46,Push-ups,2,16.02,355.03,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.894528779,1,0.484179317,0.35
26.1,1,111.88,1.9,30.99,3,1,1.02,673.81,Tricep Dips,2,18.94,360.64,['triceps'],upperbody,1,0,0,0,0.916706199,1,0.48750593,0.35
43.14,0,42.18,1.65,15.49,0,13,1.33,1436.4,Lunges,0,18.1,340.47,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.836970272,0,0.475545541,0.2
53.98,0,47.98,1.6,18.74,1,13,1.19,1570.8,Kettlebell Swings,2,24.04,337.72,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.826098988,1,0.723914848,0.7
54.09,0,48.42,1.6,18.91,1,12,1.19,1284.13,Pistol Squats,0,24.08,337.89,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.826771031,0,0.474015655,0.2
30.17,0,59.02,1.63,22.21,1,24,1.85,1921.04,Calf Raises,2,16.07,352.85,['calves'],lowerbody,1,0,0,0,0.885910816,1,0.482886622,0.35
52.24,1,64.16,1.51,28.14,2,24,1.82,1889.89,Bear Crawls,2,22.85,363.17,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.92670778,1,0.389006167,0.5
51.97,0,70.16,1.58,28.1,2,13,1.01,969.6,Prone Cobras,2,15.95,352.9,['upper_back'],upperbody,0,0,0,1,0.886108476,1,0.182916271,0.2
46.52,0,61.85,1.54,26.08,2,29,1.95,2794.94,Jumping Jacks,0,16.93,350.79,['full_body'],fullbody,0,1,1,0,0.877767236,0,0.581665085,0.6
19.13,1,56.32,1.87,16.11,0,2,0.61,739.44,Plank,1,19,333.69,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.810167615,0.5,0.521525142,0.325
35,0,59.35,1.66,21.54,1,1,1.3,858.78,Superman,2,16.88,334.34,"['lower_back', 'glutes']",core,0,0,0,1,0.812737192,1,0.171910579,0.2
56.16,0,47.83,1.87,13.68,0,1,0.68,823.55,Tricep Dips,1,20.03,336.01,['triceps'],upperbody,1,0,0,0,0.819339026,0.5,0.472900854,0.275
37.37,1,73.09,1.76,23.6,1,14,1.22,1611.74,Tricep Dips,1,18.07,332.77,['triceps'],upperbody,1,0,0,0,0.806530677,0.5,0.470979602,0.275
50.48,1,71.03,1.68,25.17,2,3,1.16,1023.58,Bicycle Crunches,1,11.98,260.5,"['abs', 'obliques']",core,1,0,0,0,0.520833333,0.5,0.428125,0.275
37.12,1,70.47,1.77,22.49,1,1,1.01,889.61,Bicycle Crunches,2,16.05,353.05,"['abs', 'obliques']",core,1,0,0,0,0.886701455,1,0.483005218,0.35
34.89,0,127.1,1.62,48.43,3,13,1.01,727.2,Lat Pulldowns,2,15.14,362.32,"['lats', 'biceps']",upperbody,1,0,0,0,0.923347565,1,0.488502135,0.35
55.8,0,107.44,1.73,35.9,3,13,1.1,792,Reverse Lunges,2,15,352.55,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.884724858,1,0.482708729,0.35
22.31,0,45.78,1.77,14.61,0,0,1.04,915.2,Dips,0,23.02,348.77,"['chest', 'triceps']",upperbody,1,0,0,0,0.869781784,0,0.480467268,0.2
53.01,0,51.68,1.74,17.07,0,14,1.23,886.34,Russian Twists,0,24.9,358.53,"['obliques', 'abs']",core,1,0,0,0,0.908364959,0,0.486254744,0.2
54.15,0,86.17,1.93,23.13,1,25,1.75,2045.92,Tricep Extensions,2,15.06,348.58,['triceps'],upperbody,1,0,0,0,0.869030677,1,0.480354602,0.35
25.15,0,81.23,1.95,21.36,1,25,1.94,2016.05,Dead Bugs,0,15.91,370.13,"['transverse_abs', 'core']",core,1,0,0,1,0.954222011,0,0.543133302,0.25
35.12,0,70.67,1.79,22.06,1,11,1.08,776.3,Pistol Squats,1,17.06,348.63,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.869228336,0.5,0.48038425,0.275
35.1,0,79.15,1.64,29.43,2,10,1.28,1378.94,Push-ups,0,15.86,354.96,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.894252056,0,0.484137808,0.2
22.3,1,71.87,1.62,27.39,2,1,1.38,1671.32,Push-ups,0,23.98,356.9,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.901921252,0,0.485288188,0.2
54.7,1,52.38,1.68,18.56,1,1,0.77,678.22,Scissors Kicks,2,22.88,362.69,['lower_abs'],core,1,0,1,0,0.924810247,1,0.738721537,0.7
20.96,0,96.67,1.72,32.68,3,0,1.26,1523.21,Lunges,1,15.04,341.48,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.840962998,0.5,0.47614445,0.275
41.81,1,42.73,1.74,14.11,0,1,1.03,1020.63,Pistol Squats,2,15.97,342.8,"['quads', 'glutes', 'core']",lowerbody,1,0,0,0,0.846181214,1,0.476927182,0.35
56.67,0,126.43,1.63,47.59,3,0,0.96,844.03,Burpees,2,20.08,370.95,['full_body'],fullbody,0,1,1,0,0.957463631,1,0.593619545,0.75
25.83,0,73.72,1.65,27.08,2,0,0.93,1124.28,Push-ups,0,15.02,336.25,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.820287793,0,0.473043169,0.2
53.9,1,70.61,1.52,30.56,3,1,0.75,495.45,Dips,2,20.98,344.14,"['chest', 'triceps']",upperbody,1,0,0,0,0.851478495,1,0.477721774,0.35
55.35,1,87.23,1.88,24.68,1,13,1.18,1557.6,Kettlebell Swings,1,21.91,340.8,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.838274826,0.5,0.725741224,0.625
29.65,1,121.1,2,30.28,3,14,1.25,1651.38,Leg Press,1,21.08,348.38,"['quads', 'glutes']",lowerbody,1,0,0,0,0.868240038,0.5,0.480236006,0.275
18,1,83.22,1.96,21.66,2,27,1.83,2618.91,Plank,1,15.99,335.55,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.817520557,0.5,0.522628083,0.325
52.27,1,82.16,1.72,27.77,2,10,1.01,967.18,Tricep Extensions,0,17.03,343.23,['triceps'],upperbody,1,0,0,0,0.847881088,0,0.477182163,0.2
21.73,1,96.77,1.63,36.42,3,12,1.35,971.19,Plyometric Push-ups,0,24.07,351.99,"['chest', 'shoulders']",upperbody,0,0,1,0,0.882511069,0,0.38237666,0.35
53.9,0,114.22,1.92,30.98,3,14,1.19,1572.11,Bicycle Crunches,0,20.94,379.42,"['abs', 'obliques']",core,1,0,0,0,0.990947185,0,0.498642078,0.2
47.3,1,61.07,1.76,19.72,1,28,1.56,1624.9,Calf Raises,2,15.03,328.96,['calves'],lowerbody,1,0,0,0,0.791469007,1,0.468720351,0.35
